"name","item"
"Epic Taste","Veg Roll"
"Five star chicken","Veg Roll"
"Five-star chicken","Veg Roll"
"NEW A ONE FAST FOOD","Veg Roll"
"AM 2 PM","Veg Roll"
"Friends Corner","Veg Roll"
"RAMKRISHNA HOTEL AND RESTAURANT","Veg Rice"
"Sparks- The food hub","Veg Pulao"
"Safa Restaurant","Veg Pulao"
"Bombay Gulalwadi Bhajipav - Manekchowkwala","Veg Pulao"
"BTC (Bathinda Thali Company)","Veg Pulao"
"Lakhiya Fast Food","Veg Pulao"
"Lunchwala","Veg Pulao"
"Anand Kitchen","Veg Pulao"
"Verma Dhaba","Veg Pulao"
"Healthy Foodies","Veg Pulao"
"Shree Raj Food Centre","Veg Pulao"
"Shivshakti Pav Bhaji","Veg Pulao"
"Aroma","Veg Pulao"
"Shreeji Kathiyavadi Kitchen","Veg Pulao"
"P Bhagat Tarachand","Veg Pulao"
"Biryani's Hub","Veg Pulao"
"Southern Grub The Taste Of South","Veg Pulao"
"Shree Guru Gulalwadi","Veg Pulao"
"Southern India","Veg Pulao"
"SRI ADIGA VEG","Veg Pulao"
"JAIN VEG FAMILY RESTAURANT","Veg Pulao"
"Anand Veg Treat","Veg Pulao"
"Jain Restaurant","Veg Pulao"
"Pawan Food","Veg Pulao"
"Nagu's Kitchen","Veg Pulao"
"Funky Punjab","Veg Pulao"
"Eggcellent Protein Hub","Veg Pulao"
"Fusion By Hotel Mayura","Veg Pulao"
"QUEST REGENCY","Veg Pulao"
"Lemon Grass","Veg Pulao"
"Pomelo Calcutta Tiffin","Veg Pulao"
"Tongue Chaska","Veg Pulao"
"DAYA RAJ VEG VAISHNO DHABA AND  CATERS","Veg Pulao"
"Anand Bhajipav And Pulav","Veg Pulao"
"Swaad ka tadkaa","Veg Pulao"
"RADHE PURE VEG","Veg Pulao"
"Jay Mataji","Veg Pulao"
"Lets Dimsum","Veg Pulao"
"Hotel Janta Darbar","Veg Pulao"
"Pahwa Vaishno Dhaba","Veg Pulao"
"Food Infinity - Bengali & North Special","Veg Pulao"
"DR'S KITCHEN","Veg Pulao"
"Paratha Plaza","Veg Pulao"
"Harihar Food","Veg Pulao"
"Shiv Om Food Centre","Veg Pulao"
"Mani Madras","Veg Pulao"
"Punjab Paratha Point","Veg Pulao"
"Shree Durga Bakery","Veg Puff"
"The Hunger Box","Veg Pot Rice Bowl[400gm]"
"Belgium Bakers","Veg Pizza"
"Samrat Snack Bar","Veg Pizza"
"Caffe Di Venezia","Veg Pizza"
"Feast House","Veg Pizza"
"UDAPI DOSA RESTAURANT","Veg Pizza"
"Royal Cafe","Veg Pizza"
"Frankie roll junction","Veg Paneer Roll"
"The momo co.","Veg Pan Fried Momo (6 Pcs)"
"Bombay Sandwich","Veg Onion Grill Sandwich"
"THE HUNGER OUT","Veg Omelette"
"CAFE CATAMARAN","Veg Noodles"
"Mathura Chat","Veg Noodles"
"HUNGRY CHANG","Veg Noodles"
"Roadside Foodies","Veg Noodles"
"Cafe Blueberry","Veg Noodles"
"BLUNCH AND DINE CAFE AND RESTRO","Veg Noodles"
"BARN N BARBECUE.","Veg Noodles"
"MADINA KABAB CENTER","Veg Noodles"
"Blue Heaven Pizza & Fast Food Family Restaurant","Veg Noodles"
"Biryani Bhai","Veg Noodles"
"BBQ MASTER","Veg Noodles"
"PIZZA HOT","Veg Noodles"
"Annapurna Restaurent - Hotel Aaditya Inn","Veg Noodles"
"Hotel Ramanna nati style","Veg Noodles"
"THE HEAVEN (CITYLIGHTS TOWNHOUSE)","Veg Noodles"
"Sri Annapoorna Fast Food","Veg Noodles"
"P.S Fast Food","Veg Noodles"
"Maruti Plaza","Veg Noodles"
"Polas Harbour Lounge","Veg Noodles"
"OYM A Cloud Kitchen","Veg Noodles"
"S S STAR FOOD CORNER VEG & NON VEG (HALAL)","Veg Noodles"
"Chandralok Kachouri","Veg Noodles"
"Spices fsat food Restaurant","Veg Noodles"
"Maruti Home Made","Veg Noodles"
"Roll Express ( Suchna Kendra )","Veg Noodles"
"Himachal Tea House","Veg Noodles"
"homely experience @99","Veg Noodles"
"M.D KEBAB CENTRE","Veg Noodles"
"Shri Ganesh Dosa Corner","Veg Noodles"
"Hokart - Sneha food point","Veg Noodles"
"DOSA CORNER","Veg Noodles"
"BABA SAROOR","Veg Noodles"
"RAJESH FAST FOOD","Veg Noodles"
"Ayappa Fast Food","Veg Noodles"
"Walia Fast Food","Veg Noodles"
"SINDHU FOOD","Veg Noodles"
"SRI MAHALAKSHMI CAFE","Veg Noodles"
"Oasis - Radisson Hotel Agra","Veg Noodles"
"New Caapsi Restaurant","Veg Noodles"
"MOTHER'S KITCHEN","Veg Noodles"
"Ching's House","Veg Noodles"
"VAZHAYILA RESTAURANT","Veg Noodles"
"Hotel Jhari Palace","Veg Noodles"
"Kaveri Foods Andhrastyle","Veg Noodles"
"AJ Park Restaurant","Veg Noodles"
"Ramesh Hotel","Veg Noodles"
"Hoifoods","Veg Noodles"
"Sethi Snacks Corner","Veg Mutton Gravy Chaap"
"FOODKART","Veg Momos [8pcs]"
"PURVI'S KITCHEN","Veg Momos [8 Piece]"
"GIRDHARI kichan","Veg Momos [7 Pcs.]"
"Ad Momos And Chinese Foods","Veg Momos [5 Pcs ][Regular]"
"Mrs.Momo","Veg Momos (Steamed) (5 Pcs)"
"Namaste Chinese","Veg Momos"
"Amritsari fast food","Veg Momos"
"Ministry Of Momos","Veg Momos"
"Juicy Momos","Veg Momos"
"New Momo World","Veg Momos"
"Banjo The Food chain","Veg Momos"
"sigdi on wheels","Veg Momos"
"Have Break Momo Stall","Veg Momos"
"Shaolin Panda","Veg Momos"
"The momo kitchen","Veg Momos"
"Pathaan Sir","Veg Momos"
"Vaishno veg rasoi","Veg Momos"
"Chinese Fast Food","Veg Momo"
"Mahi Momos","Veg Momo"
"The Red Box","Veg Momo"
"Chinnu's Mess","Veg Meals"
"Capteins Momo","Veg Mayo Regular Sandwich"
"EAT FOR FIT","Veg Mayo Grilled Sandwich"
"RTS Cafe","Veg Mayo Grilled Sandwich"
"Red Chilly Chinese Food","Veg Manchurian noodles"
"Cone-N-Cakes","VEG MANCHURIAN GRAVY"
"Eldorado","Veg Manchurian Dry"
"Navjivan Restaurant","Veg Manchurian Dry"
"Noodle Bar Amd","Veg Manchurian Dry"
"Navrang Chinese Food","Veg Manchurian Dry"
"Chinese in","Veg Manchurian Dry"
"BABA'S SUROOR","Veg Manchurian Dry"
"Spice City & Banquet & Restaurant","Veg Manchurian Dry"
"Treeside Restaurant","Veg Manchurian Dry"
"Bhatia's Kitchen & Snacks","Veg Manchurian Dry"
"Mumbai Chingo Chinese","Veg Manchurian Dry"
"jay ambe bhajipav pulav & chinese","Veg Manchurian Dry"
"Order N Eat","Veg Manchurian Dry"
"The Real Paprika","Veg Manchurian Dry"
"Punjabi Unplugged","Veg Manchurian Dry"
"Hotel Paradise","Veg Manchurian Dry"
"Tandoori Hub","Veg Manchurian Dry"
"Zam Zam Chinese and Grill","Veg Manchurian Dry"
"Shail Restaurant","Veg Manchurian Dry"
"Bajarang Food Corner","Veg Manchurian Dry"
"Wraps, Rolls & Bowls","Veg Manchurian Dry"
"Choice Snack Bar","Veg Manchurian Dry"
"Combo Only","Veg Manchurian Dry"
"Kabir Restaurant","Veg Manchurian Dry"
"Palkhi Roof Top Veg Restaurant","Veg Manchurian Dry"
"Gravity Cafe","Veg Manchurian Dry"
"Punjabi Nawabi","Veg Manchurian Dry"
"Da Real Momoz","Veg Manchurian Dry"
"Real Paprika - Maninagar","Veg Manchurian Dry"
"Mehmaan","Veg Manchurian Dry"
"Jolly Belly","Veg Manchurian Dry"
"Chinese Hub","Veg Manchurian Dry"
"Rudra Food Court","Veg Manchurian Dry"
"Mandarin House","Veg Manchurian + Veg Noodles"
"Pepperoni Restaurant","Veg Manchurian"
"Gauri Inn - Madhushala Veg Non-Veg Restaurant","Veg Manchurian"
"Olive  Multicuisine Restaurant","Veg Manchurian"
"The Snack Junction","Veg Manchurian"
"Spice Veg Restaurant","Veg Manchurian"
"Nakshtra pure veg Restaurant","Veg Manchurian"
"Nagpal Dhaba","Veg Manchurian"
"Hot N Chill Restaurant","Veg Manchurian"
"G M Chinese Center","Veg Manchurian"
"Koriander Veg Restaurant","Veg Manchurian"
"Gandhali Restaurant (Gargee Hotel's)","Veg Manchurian"
"The Grill","Veg Manchurian"
"Shree Krishna Foodie Pure Veg","Veg Manchurian"
"Annapurna New Suruchi Hotel","Veg Manchurian"
"JAGGI's","Veg Manchurian"
"LAIZON","Veg Manchurian"
"Zaika International","Veg Manchurian"
"Manohar Chat","Veg Manchurian"
"Crystal Restaurant","Veg Manchurian"
"Chinese & More - Urban Chowk","Veg Manchurian"
"Mr. AB Cafe","Veg Manchurian"
"Pushpak Misthan Bhandar","Veg Manchurian"
"Brijwasi Pizza","Veg Manchurian"
"Madhav Fast Food","Veg Manchurian"
"3 Peg Restro & Bar","Veg Manchurian"
"Foodies Love","Veg Manchurian"
"Green Chilli","Veg Manchurian"
"Orange Restaurant","Veg Manchurian"
"Yogayog Caters And Chinese Center","Veg Manchurian"
"Hotel Center Plaza","Veg Manchurian"
"THE AURANGABAD PANTRY","Veg Manchurian"
"Satyas Family Restaurant","Veg Manchurian"
"New Eagle Restaurant","Veg Manchurian"
"Maharaja Chaap - Pure Veg Restaurant","Veg Manchurian"
"THE SPICY KITCHEN","Veg Manchurian"
"Reena's Kitchen","Veg Manchurian"
"Hotel Priyanka International & Restaurant","Veg Manchurian"
"Hotel Radha Grand Family restaurant","Veg Manchurian"
"Cafe hot & Fresh","Veg Manchurian"
"Indian Biryani (Chawpati)","Veg Manchurian"
"Aryan Family's Delight","Veg Manchurian"
"Anand","Veg Manchurian"
"Hotel Le Mariet","Veg Manchurian"
"Chinese Food Corner","Veg Manchurian"
"Bharat Imperial","Veg Manchurian"
"Purbasha International Hotel","Veg Manchurian"
"Alpine Restaurant","Veg Manchow Soup"
"HOT & GARLIC BARBEQUE","Veg Manchow Soup"
"Chinese Wok (Wok Express)","Veg Manchow Soup"
"Fine Chinese","Veg Manchow Soup"
"Hot spot Chinese fast food","Veg Manchow Soup"
"Bombay Pav Bhaji (Original)","Veg Manchow Soup"
"Nikka Punjab","Veg Manchow Soup"
"Bon Appetit","Veg Manchow Soup"
"Akshar Chinese","Veg Manchow Soup"
"Topaz","Veg Manchow Soup"
"Singh'S Shahi Rasoi","Veg Manchow Soup"
"Surya Garden Restaurant","Veg Manchow Soup"
"Food Forest","Veg Manchow Soup"
"Tingling Spice","Veg Manchow Soup"
"Swagat Biryani House","Veg Manchow Soup"
"Shri Sai Chinese","Veg Manchow Soup"
"Kshitij Restaurant & Banquet","Veg Manchow Soup"
"Shreeji Khana Khazana","Veg Manchow Soup"
"Foodistan","Veg Manchow Soup"
"Village Inn","Veg Manchow Soup"
"Divine Dine","Veg Manchow Soup"
"Tasty Chinese Food","Veg Manchow Soup"
"Tasty Hut's Afghani Soya","Veg Manchow Soup"
"China Gate Chinese","Veg Manchow Soup"
"Dilli Darbar","Veg Manchow Soup"
"KABAB JUNCTION","Veg Manchow Soup"
"LA' CHEF Restaurant","Veg Manchow Soup"
"Dil Se Punjab","Veg Manchow Soup"
"Meraki","Veg Manchow Soup"
"FTV Cafe & Restro","Veg Manchow Soup"
"Meera's Momo","Veg Manchow Soup"
"What's up Food","Veg Manchow Soup"
"Shaahana Restaurant","Veg Manchow Soup"
"Dawat Restaurant","Veg Manchow Soup"
"China Town Chinese","Veg Manchow Soup"
"Savoureux","Veg Manchow Soup"
"Pt Punjabi And Chinese","Veg Manchow Soup"
"Cherries - Silver Heights","Veg Manchow Soup"
"Manisha Chinese Food","Veg Manchow Soup"
"Radhika Restaurant","Veg Manchow Soup"
"D Cafe","Veg Manchow Soup"
"Jalaram Restaurant","Veg Manchow Soup"
"Sardar Foods","Veg Manchow Soup"
"The Onyx (Pure veg)","Veg Manchow Soup"
"Grill N Rice Restaurant","Veg Manchow Soup"
"Green Leaf-2","Veg Manchow Soup"
"Golden China","Veg Manchow Soup"
"The Eatery At Four Points By Sheraton","Veg Manchow Soup"
"Govinda'S","Veg Manchow Soup"
"Aureate El Dorado","Veg Manchow Soup"
"Cream Centre","Veg Manchow Soup"
"Aavya tiffin service","Veg Macaroni [1 Serving]"
"Punjab Di Gaddi","Veg Lunch Pack"
"Koel's Pizzeria","Veg Loaded"
"Sarathy Hotel (Kaspa A)","Veg Kothu Parrota"
"Silver Dine (Paldi)","Veg Kohlapuri (350gm)"
"Biryani Hazri Ho","Veg Hyderabadi Biryani"
"Biryani Bucket","Veg Hyderabadi Biryani"
"Tanu Di's Kitchen","Veg Hyderabadi Biryani"
"Laziz Biryani","Veg Hyderabadi Biryani"
"food box","Veg Hyderabadi Biryani"
"Sanskari Biryani","Veg Hyderabadi Biryani"
"The Royal Biryani (By Jahanpanah)","Veg Hyderabadi Biryani"
"The Almighty Biryani","Veg Hyderabadi Biryani"
"BIRYANI  WALE","Veg Hyderabadi Biryani"
"dabba meals","Veg Hyderabadi Biryani"
"Hotel The Grand Radheshyam","Veg Hyderabadi Biryani"
"Ashray","Veg Hyderabadi Biriyani[300 Gms]"
"Chung Wah","Veg Hot & Sour Soup"
"Jacky Ching","Veg Hot & Sour Soup"
"Galangal Dhaba (Gargee Hotels)","Veg Hot & Sour Soup"
"New cabana lounge and restaurant","Veg Hot & Sour Soup"
"Sushito","Veg Hot & Sour Soup"
"Chinese Hut","Veg Hot & Sour Soup"
"CIA Chinese in Ahmedabad","Veg Hot & Sour Soup"
"Sahuji Ka Dhaba - Next Level Mall","Veg Hot & Sour Soup"
"Hotel Raj Palace","Veg Hot & Sour Soup"
"Chopstix","Veg Hot & Sour Soup"
"Mo Chang's","Veg Hot & Sour Soup"
"Chick Blast","Veg Hot & Sour Soup"
"REAL CHINESE HOTEL","Veg Hot & Sour Soup"
"Garden Asia","Veg Hot & Sour Soup"
"Chinese CLASSIC","Veg Hot & Sour Soup"
"Ni Hao Namaste","Veg Hakka Noodles with Paneer Chilli"
"Hotel Up & Above","VEG HAKKA NOODLES"
"Top N Tasty","Veg Hakka Noodles"
"NIYU","Veg Fried Rice Combo"
"AMBUR BIRYANI EXPRESS","Veg Fried Rice Combo"
"Box Up","Veg Fried Rice Box"
"The Meal Company","Veg Fried Rice + Chilli Chicken"
"Little Metro","Veg Fried Rice (serves 1)"
"Pizza'ria","Veg Fried Rice"
"Zaika Restaurant","Veg Fried Rice"
"Jalpaan Restaurant","Veg Fried Rice"
"Ice N Spices","Veg Fried Rice"
"Chinese Food Court","Veg Fried Rice"
"Jay Nilkanth Food Court","Veg Fried Rice"
"Wok Palace","Veg Fried Rice"
"Hungrilla Vegan (Pure Veg)","Veg Fried Rice"
"Jugal's Hotel","Veg Fried Rice"
"Hotel Woodland Park","Veg Fried Rice"
"VINTAGE KNITE","Veg Fried Rice"
"KARTHIK CHATS","Veg Fried Rice"
"Hotel Maharaja & Lucknawi Darbar Restaurant","Veg Fried Rice"
"Veg Plaza","Veg Fried Rice"
"AIFA FAST FOOD","Veg Fried Rice"
"Chinese Inn","Veg Fried Rice"
"Kerala restaurant","Veg Fried Rice"
"Up 'n' above","Veg Fried Rice"
"Hot & Chilly Chinese And Pavbhaji","Veg Fried Rice"
"Alpha Kitchen","Veg Fried Rice"
"Kolhapuri Misal Pav","Veg Fried Rice"
"Tummy Tucker","Veg Fried Rice"
"AMRUTHA HOME FOODS","Veg Fried Rice"
"Hellish","Veg Fried Rice"
"The Taste Of Kings","Veg Fried Rice"
"ANDHRA KITCHEN","Veg Fried Rice"
"Lama's Cafe","Veg Fried Rice"
"Larissa","Veg Fried Rice"
"Restora O7-By Club O7","Veg Fried Rice"
"Any Time Meal","Veg Fried Rice"
"Armani kitchen","Veg Fried Rice"
