"name","sum"
"Radha Krishna Chole Bhature","769"
"Albin Bakers & Restaurant","5921"
"SHAKES BURGER ROLL HUB","407"
"PZ Pizzeria","329"
"Chinese Vinnese","14579"
"Baking Buns","1769"
"Yellow Curry Box","185"
"DINE-IN-JUNGLE","148"
"Parika","208"
"Burger One","83"
"Ueir Organic Foods","14255"
"GOWDRU MANE BIRYANI & CHICKEN BARBEQUE CENTER","606"
"ALIBABA SHAWARMA AND 40 DISHES","17338"
"Bengali Kitchen (Homely Food)","60"
"Lords of Shawarma (Pitampura)","134"
"Kunafa","1407"
"Zaika Amritsari (Since 2000)","153"
"YouMee","88559"
"CHAMPARAN DHABA","9903"
"PS Wah Bhai Wah","1838"
"Mr Tomato","3736"
"Paratha university","1204"
"The Wok Story","375"
"Cafe Choco Craze","10116"
"PARATHA MANIA","144"
"Mr Sugarcane Juice","1565"
"mokart & Chillikart","259"
"Grill House","3870"
"Night Diner","3227"
"Hyderabad Biryani House","28329"
"SPICY SINGH","421"
"Hotel karavali","259"
"CHINESE XING BY DWARKA RESTAURANT","426"
"Olive Grove","1287"
"Shakes & Cookies","370"
"the hot chinese","130"
"Bhagaban Sahoo Snacks & Sweets","1889"
"Jagmohan Veg Champ","1449"
"Krishna Sweets Corner","653"
"The Food Republic","435"
"Sudoku - Authentic Chinese And Pan Asian","106"
"Hak Cafe","42"
"Zaasmeen Juice","27486"
"Jaina Restaurant (Pure Veg)","1116"
"Masala Pizza","3931"
"Rekha's Kitchen","1333"
"POORI KING","1579"
"DELUXE BUTTER OMELETE -DC CHOWK","4995"
"FALTU CAFE","171"
"Mohana Sweets","2014"
"Feast At Sheraton Grand Whitefield","2361"
"Hyderabadi Kitchens","14361"
"Desi Bites","22740"
"The Kabab House","1167"
"Dilli Darbaar","4046"
"Raju Gari Biryanis","13903"
"KUMAR'S MILITARY HOTEL - THE TASTE OF KOLAR","0"
"Koh-I-Noor Kitchen","4218"
"STREET FOOD","3671"
"Sale & Pepe","25116"
"South Cafe","3602"
"CHICHAS BIRYANI","14815"
"New Kudla","88"
"the Devika parantha kichen","1343"
"Bhim Sweet Corner","412"
"MANJUS NATI STYLE","5199"
"Zaatar Palace Restaurant","380"
"Telangana Kitchen And Rice Bowls","222"
"Sree Baalaaji Bhavan Pure Veg (Anjali Bypass)","144"
"BABA'S CAFE & RESTAURANT(GV's Pure Veg)","31037"
"TRIVIDHA","380"
"ROL GOL","22245"
"STANDARD ICE-CREAM PARLOUR (Rohini Sec-6)","528"
"La Fresca Pasta","30801"
"Avoke The Avocado Cafe","481"
"Desi food kitchen","2750"
"Zion Resto","282"
"Bake Club","1088"
"Jessy Bakers & Restaurant","324"
"ANDHRA WALA (Typical Telugu Cuisine)","310"
"Sha Sha Shandaar Shawarma","106"
"Good Fettle - Healthy Ice Cream","39347"
"Madurai Simmakkal Konar Kadai","2532"
"Roadhouse Cafe","370"
"Frostie","1657"
"VAMIKA'S KHANA KHAJANA FOOD CAFE","1907"
"INDIANS CHICKEN BIRYANI POINT","958"
"United Haleem","153"
"ROLLING STONES HOSPITALITY","1144"
"TASTE OF MAGADH","2564"
"Only Beefs","190"
"The Pizza Factory","35592"
"Mayur Bhajiya","22936"
"The Tea Planet","4519"
"Chennai Kebabs","3329"
"healthy smoothies","2292"
"Crescent Restaurant & Banquet","1106"
"Veg Haari Soya Chaap","157"
"Mughal Punjab","51"
"MOUNTAIN TEA CAFE","176"
"Old Town Grill","1704"
"TOPCHOP","14439"
"Noodles@","1630"
"A 1 Chinese Center","21231"
"STARS BBQ","130"
"Chef G's Kitchen","954"
"The Fine Food","27301"
"Matka peer Golden Biryani","144"
"Sannata cafe","792"
"Y2K Restaurant","106"
"Aamantran Bangla","14218"
"Chufang The Kitchen","5417"
"NutriMakhana","181"
"On the way restaurant","1981"
"SRI BALAJI FAST FOOD CENTER","1315"
"TUMMY'S HEAVEN","389"
"Juice n Shake Mart","227"
"Sri Anjaneya Family Restaurant","875"
"5 Tara Dhaba","171"
"Binharif Kachhi Dabeliwala","97"
"Vishwaajith food centre","1259"
"Hindustani Biryani Point","1157"
"Hotel Durga Vihar","236"
"BREAKFAST CLOCK","0"
"Hyderabadi Chicken Centre","49755"
"Kung Fu Kitchen","103727"
"Live The Restaurant","186120"
"The Dirty Apron","2986"
"The Teste of odisha","1755"
"ROLLING CRUNCHYS","8093"
"Johns Restaurant","333"
"SRI RAGHAVENDRA TIFFINS & MEALS","9352"
"Himalayan Taste","1037"
"Bhatia 2 Rasoi","227"
"Tommy Kitchen","2778"
"Sai Charann Dhaba - 2","116"
"DESI TANDOOR WALA","333"
"Shiv Ice Cream & Fast Food","93"
"Balajee Sweets (Shitla Sthan)","4440"
"Shama biryani corner","1477"
"CAKEY BAKEY","630"
"Hotel Fish Land","10833"
"Downtown Restro Cafe","20042"
"DUM SORU & KADAL VARUVAL","46"
"Meetup Corner","1889"
"Diva- The Italian Restaurant","222"
"Noodles Affair - Desi Chinese","324"
"Chattpatt Food","481"
"PIZZA ZONE","1592"
"Madhur Bakers & Fast Food","30644"
"FUN SHAKES","333"
"V JUNCTION","116"
"Foodcraft Kitchen","193532"
"Natkhat Bakers","116"
"Cream & Crush cake shop","389"
"Pizzallo Hot","157"
"AMMA VECHA MEEN KOLAMBU","454"
"R R BIRYANI POINT","259"
"HRM Cloud Kitchen","477"
"AL TAJ BIRIYANI","361"
"Shiny Chats","644"
"B1 Biryani Shop","6671"
"Franky Station - Sindhubhavan","431"
"Kolkata King Rolls & KKR Fast Food","102"
"Venezia","190"
"IFISH SEAFOOD STORE & FRIES","792"
"Vyanjan Food Service","2412"
"The Momo Inc.","2370"
"THE LITTI CHOKHA","4426"
"Chinese Hotpot","537"
"The Jabzz Kitchen","2745"
"Pramukh Kathiyawadi - Sector 21","787"
"Pizza Square","820"
"uttarakhand pure vegetarian rasoi","7380"
"Cakey Bakey","31477"
"Chai Chuski Cafe","222"
"Tasty Restaurant","5533"
"Bombay Chat Bhandar","5458"
"Apoorva's Sangeetha Veg","97"
"Chinmaye  Inn","2380"
"Kakoo Zee Ice Cream","843"
"Famous M2K Momos","13611"
"FRIENDS & FAMILY","19954"
"Ivaan Hot Paratha","46"
"Chai Hub","241"
"34 Chowringhee Lane (Rajouri Garden)","620"
"Hungry Adda","13750"
"Mr chat","917"
"MOMOS KATTA NAVSAGAR FOODS","4968"
"Dockyard food","10500"
"Momos queen","2995"
"Kwiqii - Swadesi!","0"
"Food Exchange","3384"
"Chaurasia Pan Sonu 18","93"
"Amritsari Chaap And Paratha","38111"
"RAGHU TIFFEN ROOM","27148"
"Best Pasta","727"
"Aadya kitchen","333"
"New Delhi Chaap","2981"
"Chaw Food Center","9565"
"Rajshrees Kitchen","2046"
"Neeta's Kitchen","731"
"Crowns Cookhouse","12463"
"Koyel Restaurant","7194"
"Sri akshara","204"
"Talsa","4134"
"SADGURU SNACKS","83"
"Kp rolls","1255"
"Anna Madras cafe","102"
"SK Hotel","852"
"TURKISH GRILL","97"
"Khukri Desi Mutton & Chicken Point","394"
"CHAKHNA","7593"
"Ek One Uno Pizza","1278"
"Chick Blast","59508"
"Lassi Cafe","2051"
"Munch Health","125"
"Mangli kitchen","898"
"The Quenchrr Co","79"
"Pancham Bhog","4958"
"French Cab","46"
"Samosa Wala","593"
"COOL BUDDY","4782"
"Lucky Shawarma","1889"
"Pulao and more","79"
"tiwaricsTAPRI","194"
"FFC (Fast Food Corner)","1903"
"Baba Ganoush","213"
"Coastal Grand","2750"
"POOLVIEW RESTAURANT","3796"
"HOTEL SRIHARI VEG MEALS","380"
"Paradise Biryani House","5374"
"Ghee Shakkar","620"
"Milkshake and Co.","384"
"Noodle Co.(Navrangpura)","384"
"JAI MATA DI BAKERS","681"
"New prince baker's","162"
"PUJA SWEETS BHALUBASA","787"
"Simply Paranthas","889"
"ANDHRA SPICE HUB","2079"
"Why Not Momos","60301"
"The Obbre","1222"
"Parantha Express","1283"
"Orange Flames","60"
"Kings Paradise","8769"
"THE ROAD SIDE CAFE","847"
"MAHESH TIFFIN CENTER","176"
"THE MAGGI BOWL","7519"
"Biryani 17","13472"
"Reyniks flavors","6444"
"Tropical  shakes and  snacks","2764"
"FAILURE'S PIZZA","97"
"AROMAS OF PIND","2477"
"Samosa Time","4889"
"GAGA MOTO","8921"
"Star Ambur Biryani","824"
"Anand","14514"
"Om Sai Ram Tiffins","65"
"Desian: Proudly Vegetarian","30949"
"Shawarma Corner","55986"
"19th kabab corner","454"
"Dragon noodles hut","750"
"Royal Sandwich","29362"
"EURO CLUB","468"
"SHAWARMA CRIME","0"
"Pakka Tandoor","2981"
"Chococakes","356"
"Thor Party world","55167"
"10 Downing Street","27620"
"AMBUR ZARA BIRIYANI","4014"
"Home Eat","829"
"Havmor Havfunn ice cream","269896"
"The Engineer's Food Theory","2130"
"Momos Wala","1653"
"PADMA RESTAURANT","7815"
"Royal Daawat","449"
"Paradise Point","458"
"Yumi's-2 Special Momos","606"
"THE WEDDING BRIYANI","875"
"A1 FRESH JUICE BAR","190"
"The Biryani Story","154870"
"THE PARANTHA JUNCTION","699"
"R B THE BIRYANI HOUSE","1417"
"Flamingo Tourist Resort","694"
"Radhe Shyam kitchen","1028"
"The cake tree","574"
"Saraswathi mess and curry point","833"
"Sangeeta Restaurant","28185"
"DONNE BIRIYANI KENDRA","875"
"Bharawaan Di Rasoi","19685"
"YUMMY PARADISE","69"
"Hotel Zam Zam","491"
"MOSHIR TASTE OF IRAN","224620"
"FB Cakes Royapuram","144"
"Chaudhary Bhojnalaya","79"
"FAMILY MASALA RESTAURANT","333"
"AVA FOOD COURT","79"
"THE	PEPPER	FRY","935"
"Amritsari Kulcha Hut Chanda Nagar","130"
"ice gola company","79"
"MOHAMMEDIA","111"
"Breakfast Point","35042"
"Hot Chaat & Sweets","46"
"Momino's Ravi Thapa","1222"
"Kovai Goundar Mess","125"
"BREADMAN BY WOSS","144"
"The Night Kitchen","426"
"Janta Snacks","1510944"
"HANDY HUBS","40380"
"ARABIAN EXPRESS","14556"
"SHAN E' MUGHLAI","472"
"Chinese Trail","21643"
"La Co'S Pizza","2273"
"Lee Four","370"
"THE TAJ HOTEL","4792"
"zaitoon bi","1389"
"Gazal hotel","4593"
"Vikram Restaurant","13153"
"The House of Makeba","6125"
"Clay   A Story of tandoor","14713"
"Hotel New Taste","1704"
"Choco Lekker","2194"
"CHULHA CHOKA","10440"
"Tasty Shawarma Rolls","13977"
"Chow King's","208"
"Snaxpress Tastes & Cakes","11106"
"Pavan Chats","732"
"Tycoons","2671"
"Kudla Delight","574"
"Mr. Bean's Pizza Restaurant","12463"
"BHARATHI HOME FOODS","204"
"ANEYA TASTY DELIGHT","3120"
"Chacha Choudhary","1676"
"Hokart - Kolkata Sweets","3056"
"Sri Amma Mess","3130"
"Raj Da Dhaba","29088"
"Sri Hari Home foods","167"
"THE MILKSHAKES MAKERS","102"
"Daddy'z","3806"
"Crispy & Tasty","704"
"Himalayan Abode","106"
"Raj Tadka","8648"
"The Rolls And Burger","83"
"Coco Jaunt 1728","11250"
"CRUNCH","5051"
"Zayekedaar Biryani","0"
"Velvet Restaurant and Lounge","3704"
"Krishna Aloo Paratha Center","384"
"Griddler","13000"
"Yashvi Dosa Hub","491"
"LAMHE 1980S","727"
"AMAZON GRILL CAFE and RESTAURANT","556"
"Alshafin Multi-Cuisine restaurant","144"
"SWADISHT THIKANA","2106"
"Vels Food","46"
"DELICETO  PASTRIES","2380"
"Spice Mix","15620"
"Temptation (KC Residency)","704"
"MILK SHAKE HOUSE","102"
"The Abhilasha Restaurant","338"
"Aroma Of Bangalore","12463"
"BONG CONNECTION","1917"
"Momos Corner","9806"
"Krishna Jodhpur Sweets & Restaurant","1611"
"MomoCult","3065"
"THE BIG BITE","5097"
"Amber's Cake Shop","1907"
"Taj Cakes and Bakes","93"
"D'Eat","514"
"MANTU BIRYANI","3185"
"Vaishnavi Clarks  Inn (The Bridge Restaurant)","324"
"Achoo Fast Foods","3866"
"Dezire Sugar Free Health Cafe","9092"
"Cream bell","3547"
"Pishori Chicken and Kebab","472"
"Lovely Combos","3130"
"NOUSH FARMAYE","60"
"China Rocks - RPD College","241"
"Mezze Bar","2157"
"Ancient CHINESE HOUSE","412"
"Ramu kaka","60"
"Bum Chik Restaurant","8458"
"Sandwich Hub By Anika Foods","46"
"Hotel Panchavady","338"
"BIRYANI BROTHER","394"
"SIPS N BITES CAFE","1903"
"Itabian restro","171"
"NOC Cafe & Catering","199"
"Madurai Table Parotta","875"
"Crazy Paratha","190"
"Spice Garden Restaurant","838"
"KETCHUP MOMOS","653"
"Reshmi Kitchen","144"
"Mallu pan","662"
"GURUGRAM KA ADDA","3292"
"BUNTY & BUBLY","472"
"Bhook Baba","2940"
"Broasted Chicken Hut","917"
"Aadda Restaurant","2611"
"Rolls Story","1704"
"Parag Mishthaan","366"
"Biryani Buddies","69"
"Ameer Biryani Stall","4731"
"The Pizza Store & MORE","10366"
"Kushi Family Restaurant","315"
"The patiala house","46"
"Mad over momos","40106"
"The LoveKing","8287"
"Shri Ganesh Dosa Corner","361"
"Jay Bhavani Vadapav","95536"
"AAM ODISHA","144"
"SPICY WHEELS","204"
"Kamdhenu Eats","1338"
"Hungry Bites","62305"
"GANG UP CAFE","3102"
"Healthy Wealthy","20009"
"AL SHAWARMA","46"
"HOME STYLE MEAL","37"
"suyash ventures pvt Ltd","1338"
"Shahi Khaman - Jalaram Farsan","556"
"Hot Pizza Ace","81500"
"A & S China town","264"
"Kritunga The palegars cuisine","6037"
"KOKO Chinese Restaurant","500"
"Sandwich shop","93"
"BOWL  199","11222"
"Perfect Bite","162"
"Shri Balaji variety Samosa","2074"
"SHOIAB FAMILY RESTAURANT","23681"
"Biryani Lobby","208"
"bisht the chinese food","352"
"HOTEL SRI MUTHARAMMAN","12037"
"ROLLS N MORE","509"
"Big Pizza","8506"
"Paradise Confectioner","19056"
"Captain Crispy","431"
"Fresh Bake & snacks","5106"
"Delhi sweet house","134"
"Kritya Biryani Center","30917"
"VIGNESH BHAVAN","84519"
"Agorih","25514"
"Cheesy Smile Pizza Restaurant","2727"
"PSV chicken food center","11324"
"KUKKAD SHUKKAD","37"
"Sran Desi ghee meat","176"
"NAYANA CELEBRATION RESTAURANT A/C","6273"
"palamuru biryani","134"
"Taj Kirah Fastfood Halal Restaurant","231"
"Doaba Sweets","97"
"GEETHA MILITARY HOTEL","83"
"CHATY AFFAIRZ","83"
"New flavours","1778"
"JUHI FAST FOOD SHOP","0"
"Al-zaika Kathi Roll & Momos","3681"
"Bajjis cart homely food with authentic","5611"
"Swaad Dish","6889"
"AB s Absolute Barbecues","3880"
"Shakes N Bites","449"
"Manik Hyderabad Biriyani","1125"
"Home Kitchen","35573"
"BOX21","74"
"SHAWARMA SHOWER","65"
"Fast & Fresh","5801"
"Lazeez Zaika","120"
"Thali Meals","1324"
"THE SAILOR'S KITCHEN","36787"
"Mughlai Munchies","3329"
"Creams & Dreams","5690"
"Kulchas & More","7370"
"BAKE N CAKE","315"
"MP Fast Food Restaurant","514"
"Three Star Manipuri Rice Hotel","3005"
"Aggarwal Pizza point","27875"
"CELEBRATION CAKE SHOP","431"
"Ovengrill Cafe","500"
"China Twist","176"
"Chennai Cool Bar","2130"
"The Wok","3976"
"Matka Biryani Chef","25648"
"Hokart - Little Chinese Fresh Hot Momos","5319"
"Binge Pop","2227"
"Mehta's Bread roll company","69"
"maggi.in","491"
"Mr. Dosa (Sec-17)","10181"
"The Third Bell","14972"
"Kings Of Delhi","2958"
"NAVAYUGA BIRYANI","0"
"Sri Krishna delicacy","491"
"Anish Elite Exotic Restaurant","38611"
"Dimple Restaurant","861"
"Biskut","17495"
"HOT FOOD 24/7 RESTAURANT","333"
"Pawar fast Food corner","231"
"The Cafe By Foodhall","856"
"Theshika Nonvegetarian Restaurant.","83"
"Won Panipuri","528"
"Lemon Restaurant","2556"
"Ase China","778"
"Taj Begum Restaurant","5806"
"Karaikudi Chettinadu Mess","2194"
"1 Point 2 Devi Mess","46"
"AJAY GARDEN RESTAURANT","1148"
"Maharaj Snacks Center","7440"
"Good Times Restaurant","4102"
"R K C/Midnight Sapadu","292"
"Mainlane 13","931"
"DESI THALI BY HOTEL DHIRAJ PALACE","259"
"Sai Foods","72394"
"Amrit Sweets","5926"
"SMOKY DOCKY","1551"
"Your Sugar Daddy Cafe","162"
"My Love For Pizza","167"
"Ayodhya Aahar","824"
"Tadka Rasoi","17458"
"The Sandburg's Cafe","2250"
"GOODWILL THE CAKE SHOP","222"
"HALEEM HOUSE","25976"
"The Kenko Life","565"
"Aleks Cake Shop","500"
"Stoned Burgers","144"
"EXPRESS DHABA","17259"
"MELTING CUBES","1722"
"Food Lovers","19306"
"The Cake Corner by Deepak Bakery","366"
"shiv juice and shakes","528"
"Hack On Foods","1278"
"midnight kitchen","97"
"UK FOOD STORES","26514"
"Scoops","7187"
"Express Punjabi Dhaba","1278"
"Urban Zykaa","894"
"AVON BAR AND KITCHEN","5866"
"Iyanu Kitchen","255287"
"Cafe Reset","171"
"AL NOORAIN FOODS","440"
"Cookie Man","204089"
"Royal Zayka","1532"
"F for Fries","10509"
"Poha House","167"
"Mama cafe N sweets-Baghmugaliya","13352"
"Arya ~Fresh From Tandoor~","222"
"Mass Hotel","125"
"Royal Dhaba","8745"
"Indistinct Chatter","74"
"Nikku Chaap Cafe","157"
"Veglicious","528"
"Green cravings","190"
"Som Ki Rasoi(shudh shakahari)","6792"
"ROSE MOMO","3611"
"Mr Delicious","60"
"Hotel  Raj Palace Restaurant","7005"
"Aarudhra Family Restaurant","171"
"Lovespell Ice creams","167"
"Annapurna Food Corner","324"
"NAMMA KUDLA RESTAURANT","157"
"SCRATCH","1116"
"SOUR HOUSE","2486"
"Chaitra Food Court","5676"
"Lassi Junction Purasawalkam","20704"
"THE HOMMUS FAMILY","157"
"Labh Associate","6208"
"Roast And Grill","1806"
"Pizza Nostra","2727"
"Indiyana Pizza","21977"
"Hotel Birendra Prabha","3083"
"Tikka Talks","7514"
"ASIA BRIYANI","1134"
"The Funky Anchovy","14116"
"Orchard Fresh - Natural Ice creams & Kulfi's","2666"
"Sha Jah Biryani House","162"
"KnD's Cook House","83"
"Gajaanana Enterprisers","764"
"Anitha Jowari roti","8750"
"Annapurna Vegetarian","0"
"Filmy Food","245"
"Renukadevi Tiffin & Fast Food Center","31481"
"PAT'S FOOD","653"
"Silver Leaf - Cama Hotel","1361"
"Sankalp Reddy Restaurant","64000"
"Hot Spot Mini Shop","35889"
"SFC Garden & Restaurant","7514"
"Relish House","500"
"Friends N Blends","657"
"Cloud bay","4787"
"A Game Of Momos","176"
"GREEN CHILLI FAMILY RESTAURANT","10352"
"Chanana Food Corner","93"
"Reddy Dhaba","310"
"SOYA CHAAP QUEEN","764"
"Shri Sadguru Bread Centre","93"
"Night Food Express","79"
"Him cream ice parlour","120"
"HEALTHY BINGE","884"
"Mavrix","139"
"The Big Bang Theory","1157"
"Super Fine Biryani Point","51"
"Nammura Upahara","3671"
"Bikaneri  Bhujiyawala","329"
"PEHALWAN DA DHABA","83"
"Taste of chai","79"
"Purana Chaman Dhaba","1111"
"Shawar Wah - Shawarma, Grills and More","278"
"TOWN JUICE","6713"
"Hot & Juicy","2051"
"VINAYAKA BHAVAN","287"
"Ichamati Resturant","6968"
"Beijing Street","11106"
"Bluiris(Hotplate)","194"
"INDIAN CAKES & NUTS","514"
"Tawabul Biryani & Haleem","37"
"UKC UNCLE KENNYS CUISINE","46"
"Rita Kulfi","352"
"Frykiki","111"
"Eggxotic","60"
"NEELAM TIFFIN SERVICES (Neelam kitchen)","551"
"Yours Truly Butter Paneer","44658"
"Apni Rasoi (Int.)","389"
"Sandy's Kitchen","2829"
"Old Trafford","7620"
"Omm Sweets Snacks","1884"
"The Pinevinta Hotel","11273"
"Avani's Khapoli Vada","782"
"AMOGHA SAGAR GRAND","597"
"Mood for Food","162"
"Albela Fast Food","0"
"Salem Settu Kadai","782"
"Shakti - The Sandwich Shop (Paldi)","523"
"Burger Harbour(Ue)","1130"
"The Belgian Waffle Co.","872012"
"LIVE TO FIT","380"
"Kanpur Ki Kachauri","4926"
"Banaras Fast Food","157"
"QFC(Quality Fried Chicken)","68769"
"Food Land Family Restaurant ITC","4171"
"Madrasi Anna Dosa","667"
"9Nutz","0"
"Singh Chicken Corner","6301"
"TGI Fridays","34115"
"New Chennai Cafe","972"
"Kebabq","755"
"Earthen heaven","3056"
"The North Delicacy","32189"
"CHAI COFFEE CHAKNA","667"
"Royal Haveli Restaurant","1065"
"KEBAB & PARATHAS","1741"
"Yo Haryana H Pardhan!","1255"
"Hungry Hummus","102"
"Om Hotel & Restaurant","801"
"DK Cake & Bakery","10532"
"BHAIYAJI DHABA","12380"
"rayyan's biriyani","16782"
"Selvamani Canteen","10495"
"Burma square 1","2231"
"Dribble","92963"
"FOOD FUNDA","1870"
"Bong Bhoj","97"
"Cheap & Best","157"
"Food Gyan Aapka Swaad","4412"
"Burger point","1833"
"NIDHI FAMILY RESTAURANT","2435"
"Hoi Choi Food Zone","1889"
"Mani's Dum Biryani","73829"
"Modern Juice Hub","329"
"BANGKOK BOWL","9940"
"MINT LEAF BY CHEF TALK","97"
"Punjab Paratha House","167"
"Kashyap caters","13773"
"SLV cool and snacks","343"
"BeeVee's Hot Kitchen","370"
"Friends Corner","9588"
"Bekal","7245"
"Chennai Kulfi (Karur Byepass Road)","5032"
"Honey House","718"
"ICE AGE & FAST FOOD","236"
"The Teal Door cafe","657"
"Delhi Hotel ( Main Market )","17954"
"Raajsik - The Umrao","185"
"Hotel Sukoon Restaurant","2116"
"Pradeep Ji Parathe Wala","1500"
"Shama Chicken Biryan","2634"
"Pranav Chats","56"
"Police Chowki","88"
"Punjabi Food Point","5352"
"Shree santosh family dhaba","2019"
"Kitchen Queen","56181"
"Singh Chaat Corner","7120"
"Lavender Bakery by Fresh Pressery","231"
"Rocket Wok","1167"
